stop_id,stop_name,stop_lat,stop_lon
000001761,"Könnern, Platz des Friedens",51.673648,11.773873
000001762,"Könnern, Leipziger Str.",51.667387,11.777047
000002034,"Fienstedt, Elisabeth-Zeidler-Str.",51.551545,11.786954
000002035,"Johannashall (Kloschwitz), Promenade",51.570861,11.770448
000002036,"Beesenstedt (Salzatal), Schule",51.566524,11.726518
000002074,"Langenbogen, Neubau",51.483036,11.763491
000002076,"Roßleben, Schulplatz",51.295159,11.430141
000002099,"Zaschwitz (Wettin), Salzmünder Str.",51.575402,11.804848
000002100,"Zaschwitz (Wettin), Fähre (Bus)",51.579812,11.809882
000002101,"Ziegelroda",51.333922,11.461699
000002127,"Wiehe, Marktplatz",51.265521,11.412627
000002155,"Trebitz (Salzatal), Platz der Jugend",51.579502,11.767742
000002195,"Schwittersdorf, Naundorfer Str.",51.562819,11.708713
000002215,"Schochwitz, Bahnhof (Bus)",51.542192,11.760862
000002247,"Salzmünde, Schulstr.",51.526085,11.829328
000002255,"Salzmünde, Carl-Wentzel-Platz",51.527426,11.823286
000002263,"Rumpin, Alte Feldstr.",51.601791,11.750099
000002293,"Röblingen am See, Ambulanz",51.447218,11.678711
000002294,"Röblingen am See, Bahnhof (Bus)",51.462749,11.669086
000002300,"Querfurt, Merseburger Str.",51.381356,11.609377
000002301,"Querfurt, Westbahnhof",51.380015,11.589590
000002318,"Querfurt, ZOB",51.383059,11.597893
000002319,"Querfurt, Geistpromenade",51.375812,11.600356
000002320,"Querfurt, Gymnasium",51.375169,11.602172
000002321,"Querfurt, Kalkwerk",51.378088,11.572184
000002332,"Pfützthal, Gödewitzer Str.",51.539474,11.819908
000002369,"Naundorf, Zum Kirchblick",51.553751,11.733758
000002409,"Langenbogen, Friedensstr.",51.483924,11.779902
000002412,"Leimbach (b. Querfurt), Gaststätte",51.355754,11.548877
000002420,"Kloschwitz, Ankerstr.",51.585511,11.757298
000002443,"Johannashall (Kloschwitz), Abzweig",51.575132,11.783347
000002469,"Langenbogen, Abzweig Höhnstedt",51.487202,11.752669
000002488,"Hermannseck (Ziegelroda)",51.349212,11.514216
000002598,"Farnstädt",51.427529,11.567153
000002605,"Lu. Eisleben, Rathenaustr.",51.520396,11.554838
000002628,"Lu. Eisleben, Mansfelder Hof",51.525985,11.552528
000002634,"Lu. Eisleben, Landwehr",51.523626,11.555999
000002686,"Bennstedt (Salzatal), Eisdorfer Str.",51.481078,11.824092
000002687,"Bennstedt (Salzatal), Eislebener Str.",51.484399,11.807147
